university,publication
Southern Digest,Southern University-Baton Rouge
The Viking News,Westchester Community College
The Brunswickan,University of New Brunswick
NA,NA
Massachusetts Daily Collegian,University of Massachusetts-Amherst
The Columbia Chronicle,NA
Charlatan,NA
University of Ottawa-Fulcrum,NA
Idaho Argonaut,University of Idaho
York University-Excalibur,NA
Ryerson University-The Ryersonian,NA
The Varsity,NA
Ryerson University-The Eyeopener,NA
Daily Northwestern,Northwestern University
Inside Vandy,Vanderbilt University
Reflector,Mississippi State University
University Times,California State University-Los Angeles
Daily Collegian,Pennsylvania State University
The Famuan,Florida Agricultural and Mechanical University
Daily Lobo,University of New Mexico
The Manitou Messenger,St Olaf College
Temple News,Temple University
The Daily Utah Chronicle,University of Utah
The Depaulia,DePaul University
The Hatchet,George Washington University
The Duke Chronicle,Duke University
The Daily Egyptian,Southern Illinois University
The Lanthorn,Grand Valley State University
The Plainsman,Auburn University
Vermont Cynic,University of Vermont
The Daily Gamecock,University of South Carolina-Columbia
Pacific Index,Pacific University
The Kenyon Collegian,Kenyon College
The Ubyssey,NA
The Lamron,SUNY at Geneseo
Michigan Tech Lode,Michigan Tech University
The Depauw,Depauw University
The Main Campus,University of Maine
Miami Student,Miami University
The Pitt News,University of Pittsburgh-Pittsburgh Campus
The Nevada Sagebrush,University of Nevada-Reno
Commonwealth Times,Virginia Commonwealth University
The Foghorn,University of San Francisco
The University Star,Texas State University-San Marcos
The Blue Banner,University of North Carolina-Asheville
Cardinal Points,SUNY College at Plattsburgh
ThePeak,NA
Mustang News,Polytechnic State University
University of Calgary -- The Guantlet,NA
The Orion,California State University-Chico
Daily O'Collegian,Oklahoma State University
Swarthmore Phoenix,Swarthmore College
Pipe Dream,SUNY at Binghamton
East Carolinian,East Carolina University
Dalhousie University-Dalhousie Gazette,NA
East Tennessean,East Tennessee State University
Oklahoma Daily,University of Oklahoma Norman Campus
The Gulfordian,Guilford College
The Student Printz,University of Southern Misissippi
The Georgia State University,Georgia State University
Suffolk Voice,Suffolk University
The Daily Kent Stater,Kent State University
Cornell Daily Sun,Cornell University
Daily Nebraskan,University of Nebraska-Lincoln
The Daily,Ball State University
The News,Murray State University
Daily Eastern News,Eastern Illinois University
The Collegian,California State University-Fresno
McMaster University-The Silhouette,NA
