og_name,name,true_name,ipeds_dummy,canada,
University of Missouri,University of Missouri,University of Missouri-Columbia,FALSE,,
University of Michigan Ann Arbor,University of Michigan Ann Arbor,University of Michigan-Ann Arbor,FALSE,,
Georgia State University in Atlanta,Georgia State University in Atlanta,Georgia State University,FALSE,,
University of Wisconsin Green Bay,University of Wisconsin Green Bay,University of Wisconsin-Green Bay,FALSE,,
Depauw University,Depauw University,DePauw University,FALSE,,
"University of California, Berkeley","University of California, Berkeley",University of California-Berkeley,FALSE,,
Harvard Law,Harvard Law,Harvard University,FALSE,,
Harvard Law School,Harvard Law School,Harvard University,FALSE,,
University of Texas Austin,University of Texas Austin,The University of Texas at Austin,FALSE,,
Indiana University,Indiana University,Indiana University-Bloomington,FALSE,,
University at Albany,University at Albany,SUNY at Albany,FALSE,,
University of Nevada Las Vegas,University of Nevada Las Vegas,University of Nevada-Las Vegas,FALSE,,
Carleton University,Carleton University,Carleton College,FALSE,,
University of Ottawa,University of Ottawa,,FALSE,TRUE,
University of Colorado,University of Colorado,University of Colorado Boulder,FALSE,,
Southern Illinois University,Southern Illinois University,Southern Illinois University Carbondale,FALSE,,
Shippensburg University,Shippensburg University,Shippensburg University of Pennsylvania,FALSE,,
University of Minnesota,University of Minnesota,University of Minnesota-Twin Cities,FALSE,,
York University,York University,,FALSE,TRUE,
Ryerson University,Ryerson University,,FALSE,TRUE,
University of Toronto,University of Toronto,,FALSE,,
University of California Los Angeles,University of California Los Angeles,University of California-Los Angeles,FALSE,,
California State University Los Angeles,California State University Los Angeles,California State University-Los Angeles,FALSE,,
West Chester University,West Chester University,West Chester University of Pennsylvania,FALSE,,
University of Georgia in Athens,University of Georgia in Athens,University of Georgia,FALSE,,
University of California San Diego,University of California San Diego,University of California-San Diego,FALSE,,
Colorado State University,Colorado State University,Colorado State University-Fort Collins,FALSE,,
University of British Columbia,University of British Columbia,,FALSE,TRUE,
SUNY at Geneseo,SUNY at Geneseo,SUNY College at Geneseo,FALSE,,
Michigan Tech University,Michigan Tech University,Michigan Technological University,FALSE,,
"Smith College in Northampton, Massachusetts","Smith College in Northampton, Massachusetts",Smith College,FALSE,,
Miami University,Miami University,University of Miami,FALSE,,
North Carolina State University,North Carolina State University,North Carolina State University at Raleigh,FALSE,,
University of Pittsburgh Pittsburgh Campus,University of Pittsburgh Pittsburgh Campus,University of Pittsburgh-Pittsburgh Campus,FALSE,,
Texas State University San Marcos,Texas State University San Marcos,Texas State University-San Marcos,FALSE,,
University of North Carolina Asheville,University of North Carolina Asheville,University of North Carolina at Asheville,FALSE,,
SUNY Brockport,SUNY Brockport,SUNY College at Brockport,FALSE,,
Simon Fraser University,Simon Fraser University,,FALSE,TRUE,
Polytechnic State University,Polytechnic State University,California Polytechnic State University-San Luis Obispo,FALSE,,
University of Calgary,University of Calgary,,FALSE,TRUE,
UNC-Chapel Hill,UNC-Chapel Hill,University of North Carolina at Chapel Hill,FALSE,,
University of California at Davis,University of California at Davis,University of California-Davis,FALSE,,
NAU,NAU,Northern Arizona University,FALSE,,
Queens College,Queens College,CUNY Queens College,FALSE,,
University of Massachusetts at Amherst,University of Massachusetts at Amherst,University of Massachusetts Amherst,FALSE,,
University of New Brunswick,University of New Brunswick,,FALSE,TRUE,
Dalhousie University,Dalhousie University,,FALSE,TRUE,
Columbia University,Columbia University,Columbia University in the City of New York,FALSE,,
University of Southern Misissippi,University of Southern Misissippi,University of Southern Mississippi,FALSE,,
MIT,MIT,Massachusetts Institute of Technology,FALSE,,
Cal State East Bay,Cal State East Bay,California State University-East Bay,FALSE,,
Kent State University,Kent State University,Kent State University at Kent,FALSE,,
McMaster University,McMaster University,,FALSE,TRUE,
University of Hawaii Manoa,University of Hawaii Manoa,University of Hawaii at Manoa,FALSE,,
Brigham Young University,Brigham Young University,Brigham Young University-Provo,FALSE,,
SUNY Purchase,SUNY Purchase,SUNY at Purchase College,FALSE,,
St Cloud State University,St Cloud State University,Saint Cloud State University,FALSE,,
Washington University St.Louis,Washington University St.Louis,Washington University in St Louis,FALSE,,
Central Connecticut University,Central Connecticut University,Central Connecticut State University,FALSE,,
UC Santa Barbara,UC Santa Barbara,University of California-Santa Barbara,FALSE,,
UC Santa Cruz,UC Santa Cruz,University of California-Santa Cruz,FALSE,,
Western Illinois University Quad City riverfront campus,Western Illinois University Quad City riverfront campus,Western Illinois University,FALSE,,
University of Pittsburgh,University of Pittsburgh,University of Pittsburgh-Pittsburgh Campus,FALSE,,
Chatham College,Chatham College,Chatham University,FALSE,,
University of Illinois Springfield,University of Illinois Springfield,University of Illinois at Springfield,FALSE,,
Laurentian University,Laurentian University,,FALSE,TRUE,
Louisiana State University,Louisiana State University,Louisiana State University-System Office,FALSE,,
Brock University,Brock University,,FALSE,TRUE,
Missouri Western State College,Missouri Western State College,Missouri Western State University,FALSE,,
University of Colorado at Boulder,University of Colorado at Boulder,University of Colorado Boulder,FALSE,,
California State University Long Beach,California State University Long Beach,California State University-Long Beach,FALSE,,
SUNY New Paltz,SUNY New Paltz,State University of New York at New Paltz,FALSE,,
Buffalo,Buffalo,University at Buffalo,FALSE,,
University of Illinois,University of Illinois,University of Illinois at Urbana-Champaign,FALSE,,
College of Staten Island,College of Staten Island,College of Staten Island CUNY,FALSE,,
SUNY College at New Paltz,SUNY College at New Paltz,State University of New York at New Paltz,FALSE,,
University of Prince Edward Island,University of Prince Edward Island,,FALSE,TRUE,
College of New Jersey,College of New Jersey,The College of New Jersey,FALSE,,
Concordia University,Concordia University,,FALSE,TRUE,
University of Toronto Mississauga,University of Toronto Mississauga,,FALSE,TRUE,
Hampshire College in Massachusetts,Hampshire College in Massachusetts,Hampshire College,FALSE,,
University of Massachusetts,University of Massachusetts,University of Massachusetts-Amherst,FALSE,,
University of Texas Arlington,University of Texas Arlington,The University of Texas at Arlington,FALSE,,
University of Louisiana Lafayette,University of Louisiana Lafayette,University of Louisiana at Lafayette,FALSE,,
University of Manitoba,University of Manitoba,,FALSE,TRUE,
University of Montana,University of Montana,The University of Montana,FALSE,,
Longwood College,Longwood College,Longwood University,FALSE,,
Framingham State College,Framingham State College,Framingham State University,FALSE,,
Mary Washington,Mary Washington,Framingham State University,FALSE,,
McGill University,McGill University,,FALSE,TRUE,
UQÀM,UQÀM,,FALSE,TRUE,
University of Michigan,University of Michigan,University of Michigan-Ann Arbor,FALSE,,
McGill,McGill,,FALSE,TRUE,
University of Guelph,University of Guelph,,FALSE,TRUE,
University of Victoria,University of Victoria,,FALSE,TRUE,
University of Texas at Austin,University of Texas at Austin,The University of Texas at Austin,FALSE,,
"Bloomsburg, California, Cheyney, Clarion, East Stroudsburg, Edinboro, Indiana, Kutztown, Lock Haven, Mansfield, Millersville, Shippensburg, Slippery Rock and West Chester universities of Pennsylvania","Bloomsburg, California, Cheyney, Clarion, East Stroudsburg, Edinboro, Indiana, Kutztown, Lock Haven, Mansfield, Millersville, Shippensburg, Slippery Rock and West Chester universities of Pennsylvania",,FALSE,,
North Carolina A-T State University,North Carolina A-T State University,North Carolina A & T State University,FALSE,,
Baruch College,Baruch College,CUNY Bernard M Baruch College,FALSE,,
New School,New School,The New School,FALSE,,
UH-Manoa,UH-Manoa,University of Hawaii at Manoa,FALSE,,
The Massachusetts Institute of Technology,The Massachusetts Institute of Technology,Massachusetts Institute of Technology,FALSE,,
UC Irvine,UC Irvine,University of California-Irvine,FALSE,,
University of Missouri Kansas City,University of Missouri Kansas City,University of Missouri-Kansas City,FALSE,,
Creighton University The Creightonian,Creighton University The Creightonian,Creighton University,FALSE,,
SUNY,SUNY,SUNY Buffalo State,FALSE,,
University of Texas- Austin,University of Texas- Austin,The University of Texas at Austin,FALSE,,
The University of San Diego,The University of San Diego,University of San Diego,FALSE,,
University of Texas,University of Texas,The University of Texas at Austin,FALSE,,
the University of Southern California,the University of Southern California,University of Southern California,FALSE,,
UCLA,UCLA,University of California-Los Angeles,FALSE,,
Texas A &M University Kingsville,Texas A &M University Kingsville,Texas A & M University-Kingsville,FALSE,,
University of Wisconsin LaCrosse,University of Wisconsin LaCrosse,University of Wisconsin-La Crosse,FALSE,,
University of California,University of California,University of California-Berkeley,FALSE,,
"University of Nevada, Las Vegas","University of Nevada, Las Vegas",University of Nevada-Las Vegas,FALSE,,
The Claremont Colleges,The Claremont Colleges,Claremont McKenna College,FALSE,,
St. Olaf,St. Olaf,St Olaf College,FALSE,,
"University of California, San Diego","University of California, San Diego",University of California-San Diego,FALSE,,
UC San Diego,UC San Diego,University of California-San Diego,FALSE,,
Cegep du Vieux Montreal,Cegep du Vieux Montreal,,FALSE,TRUE,
Cégep de Saint-Laurent,Cégep de Saint-Laurent,,FALSE,TRUE,
Concord College,Concord College,Concord University,FALSE,,
Rutgers University,Rutgers University,Rutgers University-New Brunswick,FALSE,,
University of Puerto Rico,University of Puerto Rico,University of Puerto Rico-Rio Piedras,FALSE,,
Long Island University Brooklyn Campus,Long Island University Brooklyn Campus,Long Island University-Brooklyn Campus,FALSE,,
Hunter College,Hunter College,CUNY Hunter College,FALSE,,
Lehman College,Lehman College,CUNY Lehman College,FALSE,,
NYU,NYU,New York University,FALSE,,
Cal Poly San Luis Obispo,Cal Poly San Luis Obispo,California Polytechnic State University-San Luis Obispo,FALSE,,
Westchester Community College,Westchester Community College,SUNY Westchester Community College,FALSE,,
University of Texas Pan American,University of Texas Pan American,The University of Texas-Pan American,FALSE,,
Prairie View A&M University,Prairie View A&M University,Prairie View A & M University,FALSE,,
University of Washington,University of Washington,University of Washington-Seattle Campus,FALSE,,
University of Washington Seattle campus,University of Washington Seattle campus,University of Washington-Seattle Campus,FALSE,,
University of Saksa,University of Saksa,,FALSE,TRUE,
UC Berkeley,UC Berkeley,University of California-Berkeley,FALSE,,
UCSF,UCSF,University of California-San Francisco,FALSE,,
UCSF Mission Bay,UCSF Mission Bay,University of California-San Francisco,FALSE,,
UC San Francisco,UC San Francisco,,FALSE,,
St Michael's College,St Michael's College,Saint Michael's College,FALSE,,
the University of California San Diego,the University of California San Diego,University of California-San Diego,FALSE,,
University California San Diego,University California San Diego,University of California-San Diego,FALSE,,
Shippensburg,Shippensburg,Shippensburg University of Pennsylvania,FALSE,,
Loyola College Maryland,Loyola College Maryland,Loyola University Maryland,FALSE,,
University of Missouri St.Louis,University of Missouri St.Louis,University of Missouri-St Louis,FALSE,,
University of Wisconsin Eau Claire,University of Wisconsin Eau Claire,University of Wisconsin-Eau Claire,FALSE,,
Wilfrid Laurier University,Wilfrid Laurier University,,FALSE,TRUE,
St. Paul College,St. Paul College,Saint Paul College,FALSE,,
El Camino College,El Camino College,El Camino College-Compton Center,FALSE,,
Florida A&M,Florida A&M,Florida Agricultural and Mechanical University,FALSE,,
University of Tampa,University of Tampa,The University of Tampa,FALSE,,
Texas A&M University in College Station,Texas A&M University in College Station,Texas A & M University-College Station,FALSE,,
