source,name,og_name,ipeds_dummy
2,Amherst College in Massachusetts,Amherst College in Massachusetts,FALSE
2,Harvard Medical School,Harvard Medical School,FALSE
2,Harvard Graduate School of Education,Harvard Graduate School of Education,FALSE
2,University of Toronto.,University of Toronto.,FALSE
2,Ryerson,Ryerson,FALSE
2,Cal Poly Pomona,Cal Poly Pomona,FALSE
2,Cal State Fullerton,Cal State Fullerton,FALSE
2,Cal State Northridge,Cal State Northridge,FALSE
2,OU,OU,FALSE
2,University of Texas-Austin,University of Texas-Austin,FALSE
2,UIS,UIS,FALSE
2,Laurentian University’,Laurentian University’,FALSE
2,UTM,UTM,FALSE
2,universities across Louisiana,universities across Louisiana,FALSE
2,IU-Purdue University Indianapolis,IU-Purdue University Indianapolis,FALSE
2,IU-Bloomington,IU-Bloomington,FALSE
2,20 other SUNY campuses,20 other SUNY campuses,FALSE
2,University of Illinois [at] Chicago,University of Illinois [at] Chicago,FALSE
2,several Chicago-area colleges,several Chicago-area colleges,FALSE
2,Fresno State,Fresno State,FALSE
2,John Abbott College,John Abbott College,FALSE
2,Lock Haven University of Pennsylvania,Lock Haven University of Pennsylvania,FALSE
2,Connecticut State University,Connecticut State University,FALSE
2,UNCG,UNCG,FALSE
2,A&T,A&T,FALSE
2,CUNY,CUNY,FALSE
2,Baruch,Baruch,FALSE
2,Honolulu CC,Honolulu CC,FALSE
2,Texas Southern University.,Texas Southern University.,FALSE
2,the 23 California State University campuses,the 23 California State University campuses,FALSE
2,Cégep du Vieux Montréal,Cégep du Vieux Montréal,FALSE
2,MSUM,MSUM,FALSE
2,WSU,WSU,FALSE
2,California State University,California State University,FALSE
2,all 23 California State Universities,all 23 California State Universities,FALSE
2,Cal State Long Beach,Cal State Long Beach,FALSE
2,other CSUs,other CSUs,FALSE
2,different CSU campuses,different CSU campuses,FALSE
2,CSU Northridge,CSU Northridge,FALSE
2,CSU Dominguez Hills,CSU Dominguez Hills,FALSE
2,CSU Los Angeles,CSU Los Angeles,FALSE
2,Chico State,Chico State,FALSE
2,City University of New York,City University of New York,FALSE
2,University of Washington.,University of Washington.,FALSE
2,Alameda Community College,Alameda Community College,FALSE
2,University of California - Los Angeles,University of California - Los Angeles,FALSE
2,California State University Los Angeles,California State University Los Angeles,FALSE
2,Georgetown Solidarity Committee,Georgetown Solidarity Committee,FALSE
2,University California San Diego],University California San Diego],FALSE
2,UTSC,UTSC,FALSE
2,Community College of Baltimore County Essex,Community College of Baltimore County Essex,FALSE
2,Brandon University,Brandon University,FALSE
2,Université de Saint Boniface,Université de Saint Boniface,FALSE
2,Collège Lionel-Groulx,Collège Lionel-Groulx,FALSE
2,CÉGEP de Drummondville,CÉGEP de Drummondville,FALSE
2,CÉGEP du Vieux-Montréal,CÉGEP du Vieux-Montréal,FALSE
2,CÉGEP St-Laurent,CÉGEP St-Laurent,FALSE
2,University of Laval,University of Laval,FALSE
2,CEGEP Vieux-Montreal,CEGEP Vieux-Montreal,FALSE
2,Brock University,Brock University,FALSE
2,York University,York University,FALSE
2,Geulph University,Geulph University,FALSE
2,George Brown College.,George Brown College.,FALSE
2,NC State,NC State,FALSE
2,St. Augustine,St. Augustine,FALSE
2,Claremont Colleges,Claremont Colleges,FALSE
2,Concordia,Concordia,FALSE
2,Cégep du Vieux-Montréal,Cégep du Vieux-Montréal,FALSE
2,Université du Québec à Montreal,Université du Québec à Montreal,FALSE
2,Collège de Maisonneuve,Collège de Maisonneuve,FALSE
2,CEGEP du Vieux Montréal,CEGEP du Vieux Montréal,FALSE
2,several CEGEPs in the downtown Montreal area,several CEGEPs in the downtown Montreal area,FALSE
2,UChicago,UChicago,FALSE
2,the Art Institute of Chicago,the Art Institute of Chicago,FALSE
2,Middleburry College,Middleburry College,FALSE
2,universities across Quebec,universities across Quebec,FALSE
2,Cégep de Jonquière.,Cégep de Jonquière.,FALSE
2,McGill University.,McGill University.,FALSE
2,Université du Québec à Montréal (UQAM),Université du Québec à Montréal (UQAM),FALSE
2,Cégép Ahuntsic,Cégép Ahuntsic,FALSE
2,CEGEP Regional De Lanaudière à L’assomption,CEGEP Regional De Lanaudière à L’assomption,FALSE
