original_name,authoritative_name,uni_id,uni_data_source
20 other SUNY campuses,20 other SUNY campuses,,
A&T,A&T,,
Alameda Community College,Alameda Community College,,
Algoma University,Algoma University,,
all 23 California State Universities,all 23 California State Universities,,
Amherst College in Massachusetts,Amherst College in Massachusetts,,
Baruch,Baruch,,
Baruch College,Baruch College,,
Bethune Cookman University,Bethune Cookman University,,
Bloomsburg California Cheyney Clarion East Stroudsburg Edinboro Indiana Kutztown Lock Haven Mansfield Millersville Shippensburg Slippery Rock and West Chester universities of Pennsylvania,Bloomsburg California Cheyney Clarion East Stroudsburg Edinboro Indiana Kutztown Lock Haven Mansfield Millersville Shippensburg Slippery Rock and West Chester universities of Pennsylvania,,
Boston University',Boston University',,
Brandon University,Brandon University,,
Brigham Young University,Brigham Young University,,
Brooklyn College,Brooklyn College,,
Buffalo,Buffalo,,
Cal Poly Pomona,Cal Poly Pomona,,
Cal Poly San Luis Obispo,Cal Poly San Luis Obispo,,
Cal State,Cal State,,
Cal State East Bay,Cal State East Bay,,
Cal State Fullerton,Cal State Fullerton,,
Cal State Long Beach,Cal State Long Beach,,
Cal State Los Angeles,Cal State Los Angeles,,
Cal State Northridge,Cal State Northridge,,
California State University,California State University,,
California State University Long Beach,California State University Long Beach,,
California State University Los Angeles,California State University Los Angeles,,
California State University San Marcos,California State University San Marcos,,
CCNY,CCNY,,
Cégép Ahuntsic,Cégép Ahuntsic,,
CÉGEP de Drummondville,CÉGEP de Drummondville,,
CEGEP de Jonquière,CEGEP de Jonquière,,
Cégep de Jonquière.,Cégep de Jonquière.,,
Cégep de Montmorency,Cégep de Montmorency,,
Cégep de Saint-Laurent,Cégep de Saint-Laurent,,
CÉGEP de Saint-Laurent,CÉGEP de Saint-Laurent,,
CEGEP du Vieux Montréal,CEGEP du Vieux Montréal,,
Cégep du Vieux Montréal,Cégep du Vieux Montréal,,
Cégep du Vieux-Montréal,Cégep du Vieux-Montréal,,
CÉGEP du Vieux-Montréal,CÉGEP du Vieux-Montréal,,
CEGEP du Vieux-Montréal.,CEGEP du Vieux-Montréal.,,
CEGEP Edouard-Montpetit,CEGEP Edouard-Montpetit,,
CEGEP Lionel-Groulx,CEGEP Lionel-Groulx,,
CEGEP Maisonneuve,CEGEP Maisonneuve,,
CEGEP Marie-Victorin,CEGEP Marie-Victorin,,
CEGEP Montmorency,CEGEP Montmorency,,
CEGEP Regional De Lanaudière à L’assomption,CEGEP Regional De Lanaudière à L’assomption,,
Cégep Rosemont,Cégep Rosemont,,
CEGEP Saint-Laurent,CEGEP Saint-Laurent,,
CÉGEP St-Laurent,CÉGEP St-Laurent,,
CEGEP Vieux-Montreal,CEGEP Vieux-Montreal,,
CÉGEP Vieux-Montreal,CÉGEP Vieux-Montreal,,
CEGEPs,CEGEPs,,
Central Connecticut University,Central Connecticut University,,
Chico State,Chico State,,
City College campuses-Civic Center,City College campuses-Civic Center,,
City College of New York,City College of New York,,
City University of New York,City University of New York,,
Claflin universities,Claflin universities,,
Claremont Colleges,Claremont Colleges,,
CNM,CNM,,
Collège de Maisonneuve,Collège de Maisonneuve,,
Collège Lionel-Groulx,Collège Lionel-Groulx,,
College of Staten Island,College of Staten Island,,
College the School of Public Health,College the School of Public Health,,
Colleges of Applied Arts and Technology,Colleges of Applied Arts and Technology,,
Columbia University,Columbia University,,
Community College of Baltimore County Essex,Community College of Baltimore County Essex,,
Concord College,Concord College,,
Concordia Universities,Concordia Universities,,
Connecticut State University,Connecticut State University,,
CSU Dominguez Hills,CSU Dominguez Hills,,
CSU Los Angeles,CSU Los Angeles,,
CSU Northridge,CSU Northridge,,
CUNY,CUNY,,
Dalhousie University.,Dalhousie University.,,
Dawson College,Dawson College,,
different CSU campuses,different CSU campuses,,
ETSU,ETSU,,
Evergreen State college,Evergreen State college,,
Florida A&M Universit,Florida A&M Universit,,
Florida A&M University,Florida A&M University,,
francophone universities,francophone universities,,
Fresno State,Fresno State,,
George Brown,George Brown,,
George Brown College,George Brown College,,
George Brown College.,George Brown College.,,
Georgetown Solidarity Committee,Georgetown Solidarity Committee,,
Georgia Tech,Georgia Tech,,
Geulph University,Geulph University,,
Harvard Graduate School of Education,Harvard Graduate School of Education,,
Harvard Law,Harvard Law,,
Harvard Medical School,Harvard Medical School,,
he University of Regina,he University of Regina,,
Honolulu CC,Honolulu CC,,
Hunter College,Hunter College,,
Indiana University,Indiana University,,
Indiana University |,Indiana University |,,
