original_name,authoritative_name,uni_id,uni_data_source,canonical_event_key,notes
University of Missouri,University of Missouri-Columbia,NA,NA,20151110_Columbia_FacultyWalkout_UniversityGovernance,
University of Missouri,University of Missouri-Columbia,NA,NA,20151021_Columbia_OtherForm_UniversityGovernance,
University of Missouri,University of Missouri-Columbia,NA,NA,20151101_IowaCity_Boycott_Anti-Racism,
University of Missouri,University of Missouri-Columbia,NA,NA,20151001_Columbia_March_AntiRacism,
University of Missouri,University of Missouri-Columbia,NA,NA,20151010_Columbia_Blockade_UniversityGovernance,
University of Missouri,University of Missouri-Columbia,NA,NA,20150929_Columbia_Petition/Rally_AbortionAccess,
University of Missouri,University of Missouri-Columbia,NA,NA,20151109_Columbia_OtherForm_FreeSpeech,
University of Missouri,University of Missouri-Columbia,NA,NA,20151109_Columbia_Rally_CampusClimate,
University of Missouri,University of Missouri-Columbia,NA,NA,20151102_Columbia_Occupation_UniversityGovernance,
University of Missouri,University of Missouri-Columbia,NA,NA,20151110_Columbia_FacultyWalkout_UniversityGovernance,
University of Missouri,University of Missouri-Columbia,NA,NA,20151021_Columbia_OtherForm_UniversityGovernance,
University of Missouri,University of Missouri-Columbia,NA,NA,20151101_IowaCity_Boycott_Anti-Racism,
University of Missouri,University of Missouri-Columbia,NA,NA,20151015_NewYorkCity_Sit-In_Labor,
University of Missouri,University of Missouri-Columbia,NA,NA,20151113_NewYorkCity_Rally_AntiRacism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20151111_AnnArbor_March_AntiRacism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20151114_AnnArbor_March_Economy,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20151117_AnnArbor_Rally_ProPalestine,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20151119_AnnArbor_Vigil_HateCrimes,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160120_AnnArbor_March_PoliceViolence,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160209_AnnArbor_March_SocialServices,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160405_AnnArbor_UnknownForm_HateSpeech,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160420_AnnArbor_Demonstration_FaithBasedDiscrimination,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20151002_AnnArbor_Rally_Environmental,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20151202_AnnArbor_Vigil_AbortionAccess,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160118_AnnArbor_Rally_OtherIssue,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160206_AnnArbor_Rally_Feminism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160402_AnnArbor_Rally_OtherIssue,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160406_AnnArbor_March_SexualAssault,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160421_AnnArbor_Rally_Environmental,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160707_AnnArbor_Vigil_Policeviolence,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160709_AnnArbor_March_PoliceViolence,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160713_AnnArbor_March_Policeviolence,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160901_AnnArbor_Petition_Universitygovernance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160924_AnnArbor_Rally_PoliceViolance,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160924_AnnArbor_SymbolicAction_Anti-racism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160926_AnnArbor_Rally_Anti-racism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160926_AnnArbor_Otherform_Policeviolence,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160926_AnnArbor_Disruption_Anti-racism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160927_AnnArbor_March_Anti-racism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20161002_AnnArbor_Petition_Pro-Israel,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20161002_AnnArbor_Rally_Pro-Palestine,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20161010_AnnArbor_Rally_Labor,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20161019_AnnArbor_Rally_Feminism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20161024_AnnArbor_March_Anti-racism,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20160921_AnnArbor_OtherForm_PoliceViolence,
University of Michigan Ann Arbor,University of Michigan-Ann Arbor,NA,NA,20161109_AnnArbor_Vigil_Trump(Against),
